State,District,Relief Camp / Shelter Name,Disaster Type,Precise Address / Location,Latitude,Longitude,Accommodation Capacity (persons),Actual Inmates / Evacuees,Camp Type,Year / Event,Source
Maharashtra,Kolhapur,Ichalkaranji Flood Camp,Flood,"Ichalakaranji Municipal Council, Shahaji Rd, Ichalkaranji – 416115",16.6908,74.4607,3000,2500,Municipal school + spinning mill relief centre,2019 & 2021 Kolhapur floods,Maharashtra SDMA 2019
Maharashtra,Kolhapur,Shirol Flood Camp (Krishna river),Flood,"Shirol Town, Near Krishna River, Shirol, Kolhapur – 416103",16.7312,74.6267,2000,1600,Govt school cluster,2019 Kolhapur floods,DREF 2019; NDMA
Maharashtra,Kolhapur,Hatkanangale Flood Camp,Flood,"Hatkanangale Tahsil Office, Hatkanangale, Kolhapur – 416109",16.809,74.5355,2000,1600,Govt school,2019 & 2021 floods,Maharashtra SDMA 2019
Maharashtra,Kolhapur,Kagal Relief Camp,Flood,"Kagal Gram Panchayat, Kagal, Kolhapur – 416216",16.5698,74.3173,1500,1200,Govt school,Annual Bhogavati flooding,Maharashtra SDMA
Maharashtra,Sangli,Sangli Krishna Flood Camp,Flood,"Miraj Road, Near Krishna River, Sangli – 416416",16.8524,74.5662,5000,4200,Govt school + indoor stadium,"2019 & 2021 floods (2.06L evacuated from Sangli alone, Wikipedia 2021 MH)",Wikipedia 2021 MH floods; NDMA; DREF 2019
Maharashtra,Sangli,Miraj Flood Camp,Flood,"Miraj Municipal Council, Sangli Miraj Road – 416410",16.8257,74.6499,3000,2500,Municipal school + community hall,2019 & 2021 floods,Maharashtra SDMA 2019; Naam Foundation
Maharashtra,Sangli,Islampur Flood Camp,Flood,"Islampur Municipal Council, Islampur, Sangli – 415409",17.0601,74.3308,2000,1600,Govt school cluster,2019 & 2021 floods,NDMA / Maharashtra SDMA
Maharashtra,Sangli,Tasgaon Flood Camp,Flood,"Tasgaon Municipal Council, Main Road, Tasgaon – 416312",17.0394,74.6044,1500,1200,Govt school,2019 & 2021 floods,Maharashtra SDMA
Maharashtra,Sangli,Walwa Block Flood Camp,Flood,"Walwa Tahsil Office, Walwa, Sangli – 416313",16.9735,74.8012,1500,1200,Govt school,Annual Krishna flooding,Maharashtra SDMA
Maharashtra,Satara,Karad Flood Camp (Krishna-Koyna),Flood / Landslide,"Karad Municipal Council, Station Road, Karad, Satara – 415110",17.2925,74.1849,3000,2500,Govt school cluster,2021 MH floods Jul,Wikipedia 2021; NDMA MH 2021
Maharashtra,Satara,Patan Flood Camp (Koyna),Flood / Landslide,"Patan Bus Stand, Patan, Satara – 415206",17.3771,73.8608,2000,1600,Govt school + panchayat,2021 floods; Taliye village landslide,Wikipedia 2021 MH; NDMA
Maharashtra,Satara,Wai Flood Camp,Flood,"Wai Nagar Panchayat, Wai, Satara – 412803",17.9546,73.8981,2000,1600,Govt school,2021 floods; Krishna catchment,Maharashtra SDMA 2021
Maharashtra,Satara,Mahabaleshwar Relief Camp,Landslide,"Mahabaleshwar Municipal Council, Main Road – 412806",17.9239,73.6582,1500,1200,Govt building + resort converted,Annual landslide,Maharashtra SDMA; NDMA
Maharashtra,Pune,Khadakwasla Dam Downstream Camp,Flood,"Kothrud Municipal Ward Office, FC Road, Pune – 411038",18.4996,73.8275,8000,6500,Govt school cluster,2022 Pune Mula-Mutha floods,FloodList 2022; Media 2022
Maharashtra,Pune,Hadapsar Flood Camp,Flood,"Pune Municipal Corp Ward Office, Hadapsar, Pune – 411028",18.5006,73.9342,3000,2500,Municipal school,2022 Pune floods; annual,FloodList Aug 2022; Maharashtra SDMA
Maharashtra,Pune,Malin Village Landslide Camp,Landslide,"Malin Village, Ambegaon Taluka, Pune – 410503",19.1578,73.7083,500,300,Tented camp + panchayat school,2014 Malin landslide Jul,DNA India Jul 2014; NDMA 2014
Maharashtra,Pune,Bhor Flood Camp,Flood,"Bhor Municipal Council, Bhor, Pune – 412206",18.1583,73.8455,2000,1600,Govt school,2021 & 2022 flooding,Maharashtra SDMA
Maharashtra,Pune,Indapur Flood Camp,Flood,"Indapur Municipal Council, Indapur, Pune – 413106",18.1158,75.0297,2000,1600,Govt school,Annual Bhima flooding,Maharashtra SDMA
Maharashtra,Nashik,Nashik Godavari Flood Camp,Flood,"Nashik Municipal Corporation, Rajiv Gandhi Bhavan, Nashik – 422001",19.9975,73.7898,4000,3200,Municipal school cluster,Annual Godavari flooding,Maharashtra SDMA / CWC
Maharashtra,Nashik,Nandgaon Flood Camp,Flood,"Nandgaon Municipal Council, Nandgaon, Nashik – 423106",20.3259,74.6646,2000,1600,Govt school,Annual Girna flooding,Maharashtra SDMA
Maharashtra,Nashik,Igatpuri Flood Camp,Flood,"Igatpuri Municipality Office, Igatpuri, Nashik – 422403",19.7081,73.56,2000,1600,Govt school + Panchayat,Annual extreme rainfall zone,Maharashtra SDMA; IMD Nashik
Maharashtra,Ahmednagar,Ahmednagar Pravara Flood Camp,Flood,"Ahmednagar Zila Parishad, Station Road, Ahmednagar – 414001",19.0952,74.7496,3000,2500,Govt school cluster,Annual Godavari tributary floods,Maharashtra SDMA
Maharashtra,Ahmednagar,Sangamner Flood Camp,Flood,"Sangamner Municipal Council, Sangamner – 422605",19.5728,74.2097,2000,1600,Govt school,Annual flooding,Maharashtra SDMA
Maharashtra,Ahmednagar,Shrirampur Flood Camp,Flood,"Shrirampur Municipal Council, Shrirampur – 413709",19.6233,74.6522,1500,1200,Govt school,Annual Godavari tributary,Maharashtra SDMA
Maharashtra,Dhule,Dhule Panzara Flood Camp,Flood,"Dhule Municipal Corporation, Old Agra Road, Dhule – 424001",20.9042,74.7749,3000,2500,Municipal school cluster,2024 Dhule floods Aug,Maharashtra SDMA; Media 2024
Maharashtra,Dhule,Sakri Flood Camp,Flood,"Sakri Municipal Council, Sakri, Dhule – 425414",20.9931,74.3363,1500,1200,Govt school,Annual Tapi basin flooding,Maharashtra SDMA
Maharashtra,Nandurbar,Nandurbar Tribal Flood Camp,Flood,"Nandurbar Municipal Council, Nandurbar – 425412",21.3667,74.2374,2000,1600,Govt school + tribal building,Annual Tapi flooding; 2024,Maharashtra SDMA 2024
Maharashtra,Nandurbar,Shahada Flood Camp,Flood,"Shahada Municipal Council, Shahada, Nandurbar – 425409",21.55,74.4667,2000,1600,Govt school + panchayat,Annual flooding,Maharashtra SDMA
Maharashtra,Jalgaon,Jalgaon Tapi Flood Camp,Flood,"Jalgaon Municipal Corporation, Ring Road, Jalgaon – 425001",21.0077,75.5626,4000,3200,Municipal school cluster,Annual Tapi flooding; 2024,Maharashtra SDMA; CWC
Maharashtra,Jalgaon,Bhusawal Flood Camp,Flood,"Bhusawal Municipal Council, Station Road, Bhusawal – 425201",21.0492,75.7861,2000,1600,Govt school,Annual Tapi flooding,Maharashtra SDMA
Maharashtra,Jalgaon,Chopda Flood Camp,Flood,"Chopda Municipal Council, Chopda, Jalgaon – 425107",21.2558,75.6013,1500,1200,Govt school,Annual flooding,Maharashtra SDMA
Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),Aurangabad Flood Relief Camp,Flood,Aurangabad/Sambhajinagar Municipal Corp – 431001,19.8762,75.3433,3000,2500,Municipal school cluster,Annual Godavari tributary / Kham flooding,Maharashtra SDMA
Maharashtra,Jalna,Jalna Purna Flood Camp,Flood,"Jalna Municipal Council, Station Road, Jalna – 431203",19.8347,75.8816,2000,1600,Govt school cluster,Annual Purna flooding,Maharashtra SDMA
Maharashtra,Parbhani,Parbhani Purna Flood Camp,Flood,"Parbhani Municipal Council, Adalat Road, Parbhani – 431401",19.2728,76.7762,2000,1600,Govt school cluster,Annual Purna flooding,Maharashtra SDMA
Maharashtra,Hingoli,Hingoli Purna Flood Camp,Flood,"Hingoli Municipal Council, Hingoli – 431513",19.7184,77.1497,1500,1200,Govt school,Annual flooding,Maharashtra SDMA
Maharashtra,Nanded,Nanded Godavari Flood Camp,Flood,"Nanded Municipal Corp, Aurangabad Road, Nanded – 431601",19.1383,77.321,3000,2500,Municipal school + stadium,Annual Godavari flooding,Maharashtra SDMA / CWC
Maharashtra,Latur,Latur Earthquake + Flood Camp,Earthquake / Flood,"Latur Municipal Corporation, Udgir Road, Latur – 413512",18.4088,76.5604,3000,2500,Govt school cluster,1993 earthquake aftermath; annual,NDMA 1993; Maharashtra SDMA
Maharashtra,Osmanabad,Osmanabad Terna Flood Camp,Flood,"Osmanabad Municipal Council, Osmanabad – 413501",18.1807,76.0412,2000,1600,Govt school cluster,Annual Terna flooding,Maharashtra SDMA
Maharashtra,Beed,Beed Manjra Flood Camp,Flood,"Beed Municipal Council, Station Road, Beed – 431122",18.989,75.7601,2000,1600,Govt school cluster,Annual Manjra flooding,Maharashtra SDMA
Maharashtra,Solapur,Solapur Bhima River Camp,Flood,"Solapur Municipal Corporation, Saat Rasta, Solapur – 413001",17.6805,75.9064,3000,2500,Municipal school cluster,Annual Bhima-Krishna flooding,Maharashtra SDMA / CWC
Maharashtra,Solapur,Pandharpur Flood Camp (Bhima),Flood,"Pandharpur Municipal Council, Bhima Ghat, Pandharpur – 413304",17.6898,75.3295,3000,2500,Govt school + dharamshala,Annual Bhima flood; 2022 peak,Maharashtra SDMA; CWC
Maharashtra,Solapur,Barshi Flood Camp,Flood,"Barshi Municipal Council, Barshi, Solapur – 413401",18.234,75.6967,2000,1600,Govt school,Annual,Maharashtra SDMA
Maharashtra,Nagpur,Nagpur Wardha River Flood Camp,Flood,"Nagpur Municipal Corporation, Civil Lines, Nagpur – 440001",21.1458,79.0882,5000,4000,Municipal school cluster,2024 Vidarbha floods Aug,NDMA Aug 2024; FloodList 2024
Maharashtra,Nagpur,Kamptee Flood Camp,Flood,"Kamptee Municipal Council, Kamptee, Nagpur – 441001",21.2118,79.2003,2000,1600,Govt school,Annual monsoon flooding,Maharashtra SDMA
Maharashtra,Amravati,Amravati Flood Relief Camp,Flood,"Amravati Municipal Corporation, Rajkamal Chowk, Amravati – 444601",20.9333,77.75,3000,2500,Govt school cluster,2024 Vidarbha floods,NDMA 2024
Maharashtra,Amravati,Achalpur Flood Camp,Flood,"Achalpur Municipal Council, Achalpur, Amravati – 444806",21.2692,77.5107,1500,1200,Govt school,Annual flooding,Maharashtra SDMA
Maharashtra,Yavatmal,Yavatmal Wardha Flood Camp,Flood,"Yavatmal Municipal Council, Market Road, Yavatmal – 445001",20.3888,78.1204,2000,1600,Govt school cluster,Annual Wardha flooding,Maharashtra SDMA
Maharashtra,Wardha,Wardha River Flood Camp,Flood,"Wardha Municipal Council, Main Road, Wardha – 442001",20.7453,78.5998,2000,1600,Govt school cluster,Annual flooding,Maharashtra SDMA / CWC
Maharashtra,Chandrapur,Chandrapur Wardha Flood Camp,Flood,"Chandrapur Municipal Corporation, Chandrapur – 442401",19.9615,79.2961,3000,2500,Govt school cluster,Annual Wardha flooding; coal belt,Maharashtra SDMA
Maharashtra,Gadchiroli,Gadchiroli Wainganga Flood Camp,Flood,"Gadchiroli Municipal Council, Gadchiroli – 442605",20.1808,80.0002,2000,1600,Govt school + tribal building,Annual Wainganga flooding,Maharashtra SDMA / CWC
Maharashtra,Akola,Akola Morna Flood Camp,Flood,"Akola Municipal Corporation, Town Hall Road, Akola – 444001",20.7096,77.0013,2000,1600,Municipal school cluster,Annual flooding,Maharashtra SDMA
Maharashtra,Washim,Washim Penganga Flood Camp,Flood,"Washim Municipal Council, Washim – 444505",20.1006,77.0032,1500,1200,Govt school,Annual flooding,Maharashtra SDMA
Maharashtra,Buldhana,Buldhana Purna Flood Camp,Flood,"Buldhana Municipal Council, Buldhana – 443001",20.5293,76.1856,2000,1600,Govt school cluster,Annual flooding,Maharashtra SDMA
Maharashtra,Bhandara,Bhandara Wainganga Flood Camp,Flood,"Bhandara Municipal Council, Bhandara – 441904",21.1591,79.65,2000,1600,Govt school cluster,Annual flooding,Maharashtra SDMA
Maharashtra,Gondia,Gondia Bagh River Camp,Flood,"Gondia Municipal Council, Gondia – 441601",21.461,80.196,2000,1500,Govt school,Annual flooding,Maharashtra SDMA
Punjab,Gurdaspur,Gurdaspur District Relief Camps (13–25 camps),Flood,"Deputy Commissioner Office, Civil Lines, Gurdaspur – 143521",32.0392,75.1341,8000,5549,Govt school cluster – 25 camp locations,2025 Punjab Floods Aug-Sep,"Prokerala/Statesman Aug 31 2025: 25 camps in Gurdaspur; 5,456 rescued; 324 villages hit"
Punjab,Gurdaspur,Navodaya School Rescue Camp Gurdaspur,Flood,"Jawahar Navodaya Vidyalaya, Madhopur Road, Gurdaspur – 143521",32.02,75.14,500,400,School camp – children stranded,2025 Punjab Floods Aug,Khalsa Aid Aug 2025 (500 children rescued from Navodaya School + girls hostel)
Punjab,Gurdaspur,Dinanagar Sub-Camp Gurdaspur,Flood,"Dinanagar Municipal Council, GT Road, Dinanagar – 143531",32.1305,75.4627,1000,800,Govt school cluster,2025 Punjab Floods,Wikipedia 2025 Punjab floods; Babushahi Sep 2025
Punjab,Gurdaspur,Dera Baba Nanak Relief Camp,Flood,"Dera Baba Nanak Bus Stand, Gurdaspur – 143604",32.0253,74.9181,800,600,Gurudwara + school,2025 Punjab Floods,Wikipedia 2025 Punjab floods; Kalgidhar Trust Sep 2025
Punjab,Gurdaspur,Batala Flood Relief Camp,Flood,"Batala Municipal Council, GT Road, Batala – 143505",31.8162,75.2017,1000,800,Municipal school cluster,2025 Punjab Floods,Wikipedia 2025; Punjab Revenue Minister Sep 1 2025
Punjab,Amritsar,Amritsar District Relief Camps (16 camps),Flood,"DC Office Complex, Mall Road, Amritsar – 143001",31.634,74.8723,4000,1700,Govt school cluster – 16 camp locations,2025 Punjab Floods Aug-Sep,"Prokerala Aug 31 2025: 16 camps, 1,700 rescued; 93 villages hit"
Punjab,Amritsar,Ramdas Amritsar Relief Camp,Flood,"Ramdas Government High School, Ramdas, Amritsar – 143102",31.845,74.8736,1000,800,Govt school + Gurudwara,2025 Punjab Floods,Wikipedia 2025 (amphibious vehicles deployed Ramdas)
Punjab,Amritsar,Ajnala Sub-Camp Amritsar,Flood,"Ajnala Municipal Council, Ajnala, Amritsar – 143107",31.8512,74.6218,1000,800,Govt school,2025 Punjab Floods,Wikipedia 2025 Punjab floods
Punjab,Amritsar,Tarn Taran Relief Camp (Sutlej),Flood,"Tarn Taran DC Office, GT Road, Tarn Taran – 143401",31.4509,74.9279,1000,800,Govt school cluster,2025 Punjab Floods (45 villages hit Tarn Taran),Wikipedia 2025; Babushahi (45 Tarn Taran villages)
Punjab,Ferozepur,Ferozepur District Relief Camps (8 camps),Flood,"DC Office Complex, Ferozepur City – 152002",30.935,74.615,3000,749,Govt school cluster – 8 camp locations,2025 Punjab Floods Aug-Sep,"Babushahi Sep 2025: 8 camps, 749 sheltered; 3,265 rescued; 107 villages"
Punjab,Ferozepur,Rudnewala Village Relief Post,Flood,"Rudnewala Village Panchayat, Abohar Tehsil, Ferozepur – 152118",30.5614,74.1614,500,400,Village community centre / camp,2025 Punjab Floods (village cut off),Khalsa Aid Aug 2025 (Rudnewala waterlogged and cut off)
Punjab,Ferozepur,Hussainiwala Camp Ferozepur,Flood,"Hussainiwala Head Works, Ferozepur – 152003",30.6949,74.611,800,600,Govt + BSF facility,2025 Punjab Floods (BSF deployed Ferozepur),Wikipedia 2025 Punjab floods
Punjab,Fazilka,Fazilka District Relief Camps (23 camps),Flood,"DC Office, Fazilka City – 152123",30.3784,74.027,4000,2339,Govt school cluster – 23 camp locations,2025 Punjab Floods Aug-Sep (worst-hit list Sewa Canada),"Babushahi Sep 2025: 23 camps, 2,339 sheltered; 77 Fazilka + 92 Fazilka villages; Sewa Canada"
Punjab,Fazilka,Abohar De-watering Flood Camp,Flood,"Abohar Municipal Council, Circular Road, Abohar, Fazilka – 152116",30.1445,74.1947,2000,1599,Govt school + community hall,2025 Punjab Floods Aug (Khalsa Aid dewat 1000+ acres),Khalsa Aid Aug 2025 Abohar operations
Punjab,Pathankot,Pathankot District Relief Camps (14 camps),Flood,"DC Office, Dalhousie Road, Pathankot – 145001",32.2745,75.6522,2000,581,Govt school + Army liaison – 14 locations,2025 Punjab Floods (highest toll 6 deaths),"Babushahi Sep 2025: 14 camps, 581 sheltered; 81 villages; 1,139 rescued"
Punjab,Pathankot,Chakki River Flood Camp Pathankot,Flood,"Chakki Bridge, Chakki River, Pathankot – 145001",32.28,75.64,1000,800,Govt school,2025 Punjab Floods (Chakki River inundation),Wikipedia 2025 Punjab floods
Punjab,Kapurthala,Kapurthala District Relief Camps (4 camps),Flood,"DC Office, Sultani Road, Kapurthala – 144601",31.372,75.38,2000,57,Govt school cluster – 4 camp locations,2025 Punjab Floods (16 villages severely hit – Beas breach),"Babushahi Sep 2025: 4 camps, 362 rescued; Khalsa Aid: 16 villages affected"
Punjab,Kapurthala,Baupur-Sangra Flood Camp,Flood,"Baupur Village, Beas River Embankment, Kapurthala – 144601",31.4012,75.439,800,600,Govt + Gurudwara,2025 Punjab Floods Aug (Khalsa Aid first responders in Baupur cluster),Khalsa Aid Aug 2025 Kapurthala operations
Punjab,Hoshiarpur,Hoshiarpur District Relief Camps (20 camps),Flood,"DC Complex, Model Town, Hoshiarpur – 146001",31.5341,75.9108,3000,1041,Govt school cluster – 20 camp locations,2025 Punjab Floods Aug-Sep (3 deaths in Hoshiarpur),"Babushahi: 20 camps, 1,041 sheltered; 86 villages; 1,052 rescued"
Punjab,Hoshiarpur,Mukerian Relief Camp Hoshiarpur,Flood,"Mukerian Sub-Division, Hoshiarpur – 144211",31.7505,75.6736,1000,800,Govt school + panchayat,2025 Punjab Floods,Wikipedia 2025; Tribune India Sep 2025
Punjab,Jalandhar,Jalandhar District Relief Camps (18 camps),Flood,"DC Complex, Civil Lines, Jalandhar – 144001",31.326,75.5762,3000,511,Govt school cluster – 18 camp locations,2025 Punjab Floods,"Babushahi Sep 2025: 18 camps, 511 sheltered; 55 villages"
Punjab,Rupnagar,Rupnagar District Relief Camps (4 camps),Flood,"DC Office, Rupnagar (Ropar) – 140001",30.9742,76.5186,1500,245,Govt school – 4 camp locations,2025 Punjab Floods (2 deaths),"Babushahi Sep 2025: 4 camps, 245 sheltered; 44 Rupnagar villages"
Punjab,Moga,Moga District Relief Camps (2 camps),Flood,"DC Office, Moga – 142001",30.8148,75.1742,1000,145,Govt school – 2 camp locations,2025 Punjab Floods,"Babushahi: 2 camps, 145 sheltered; 35 Moga villages"
Punjab,Mansa,Mansa District Relief Camps (2 camps),Flood,"DC Office, Mansa – 151505",30.0009,75.3857,1000,89,Govt school – 2 camp locations,2025 Punjab Floods (3 deaths Mansa),"Babushahi: 2 camps, 89 sheltered; 77 Mansa villages"
Punjab,Sangrur,Sangrur Relief Camp (Ghaggar),Flood,"DC Office, Sangrur – 148001",30.2448,75.8459,1000,75,Govt school,2025 Punjab Floods (1 death Sangrur),"Babushahi: 1 camp, 75 sheltered; 22 Sangrur villages"
Punjab,Barnala,Barnala District Relief Camps (36 camps),Flood,"DC Complex, Barnala – 148101",30.3718,75.5488,3000,539,Govt school cluster – 36 camp locations (highest number in state),2025 Punjab Floods (5 deaths Barnala; submerged farmland),"Babushahi Sep 2025: 36 camps, 539 sheltered; 121 villages"
Punjab,Patiala,Patiala District Relief Camps (27 camps),Flood,"DC Complex, Patiala – 147001",30.3398,76.3869,3000,500,Govt school cluster – 27 camp locations,2025 Punjab Floods (1 death Patiala),Babushahi Sep 2025: 27 camps Patiala; 85 villages
Punjab,Ludhiana,Ludhiana Sutlej + Health Camp,Flood,"DC Office, Ferozepur Road, Ludhiana – 141001",30.901,75.8573,5000,4000,Municipal school + 75 health camps,2025 Punjab Floods (4 deaths; 75 health camps Sep 10-20),Tribune India Sep 10 2025; Babushahi: 26 Ludhiana villages
Punjab,SAS Nagar (Mohali),SAS Nagar Flood Relief Camp,Flood,"DC Office, Phase 7, SAS Nagar (Mohali) – 160062",30.7046,76.7179,3000,2000,Govt school cluster,"2025 Punjab Floods (13,000 affected SAS Nagar)",Babushahi; Prokerala; Wikipedia 2025 Punjab floods
Punjab,Sri Muktsar Sahib,Sri Muktsar Sahib Relief Camp,Flood,"DC Office, Sri Muktsar Sahib – 152026",30.4742,74.5163,1500,1000,Govt school,2025 Punjab Floods (Sewa Canada worst-hit list; 74 villages),Sewa Canada Sep 2025; Babushahi 74 villages Sri Muktsar
Punjab,SBS Nagar,SBS Nagar (Nawanshahr) Relief Camp,Flood,"DC Office, SBS Nagar (Nawanshahr) – 144514",31.1239,76.1172,1000,600,Govt school + panchayat,2025 Punjab Floods (3 SBS Nagar villages),Babushahi Sep 2025
Punjab,Bathinda,Bathinda Flood Relief Camp,Flood,"DC Complex, Bathinda – 151001",30.211,74.9456,1500,1000,Govt school,2025 Punjab Floods (4 deaths Bathinda; 21 villages),Babushahi; Wikipedia 2025 Punjab floods
Punjab,Fatehgarh Sahib,Fatehgarh Sahib Relief Camp,Flood,"DC Office, Fatehgarh Sahib – 140406",30.6479,76.3929,1000,600,Govt school,2025 Punjab Floods (1 Fatehgarh Sahib village flooded),Babushahi Sep 2025
Punjab,Malerkotla,Malerkotla Flood Relief Camp,Flood,"DC Office, Malerkotla – 148023",30.5329,75.8727,800,500,Govt school,2025 Punjab Floods (4 Malerkotla villages),Babushahi Sep 2025
